Condition,timestamp,SubjectID,GameObjectName,viewID,Hand,isStudy,PosX,PosY,PosZ,RotX,RotY,RotZ
0,1561727882891,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727882896,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727882939,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727882939,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727882949,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727882949,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727882960,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727882960,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727882969,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727882969,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727882980,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727882980,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727882992,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727882992,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727883014,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727883014,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727883037,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727883037,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727883059,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727883059,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727883081,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727883081,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727883103,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727883104,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727883125,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727883125,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727883148,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727883148,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727883170,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727883171,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727883192,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727883192,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727883215,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727883215,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727883238,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727883238,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727883259,0,R_Palm,1004,Right,False,0,0,0,0,0,0
