Condition,timestamp,SubjectID,GameObjectName,viewID,Hand,isStudy,PosX,PosY,PosZ,RotX,RotY,RotZ
0,1561727596058,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596066,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596126,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596127,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596137,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596137,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596144,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596145,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596155,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596155,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596165,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596165,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596177,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596177,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596187,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596187,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596199,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596199,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596209,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596210,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596220,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596221,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596232,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596232,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596243,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596243,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596257,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596257,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596265,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596265,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596276,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596276,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596288,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596288,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596299,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596299,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596310,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596310,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596321,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596321,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596338,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596340,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596347,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596347,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596355,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596355,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596366,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596366,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596377,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596377,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596388,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596388,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596399,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596399,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596411,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596411,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596421,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596422,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596433,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596433,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596450,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596450,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596455,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596455,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596466,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596466,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596477,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596478,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596488,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596488,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596500,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596500,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596511,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596511,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596521,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596522,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596533,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596533,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596546,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596546,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596556,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596556,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596566,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596567,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596578,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596578,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596601,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596601,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596611,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596611,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596622,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596622,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596634,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596634,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596645,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596645,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596656,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596656,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596667,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596667,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596678,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596679,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596689,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596690,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596700,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596700,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596712,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596713,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596723,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596723,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596734,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596735,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596745,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596746,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596757,0,R_Palm,1004,Right,False,0,0,0,0,0,0
0,1561727596757,0,L_Palm,1028,Left,False,0,0,0,0,0,0
0,1561727596768,0,R_Palm,1004,Right,False,0,0,0,0,0,0
